         54468576 function calls (54468080 primitive calls) in 325.338 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1198    0.002    0.000    0.002    0.000 {built-in method builtins.isinstance}
      266    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:145(_path_stat)
       88    0.002    0.000    0.002    0.000 {method 'write' of '_io.TextIOWrapper' objects}
       20    0.001    0.000    0.001    0.000 {built-in method marshal.loads}
       88    0.001    0.000    0.001    0.000 <frozen posixpath>:117(splitext)
      357    0.001    0.000    0.001    0.000 _parser.py:167(__getitem__)
       44    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1211(get_data)
        1    0.000    0.000    0.001    0.001 dbapi2.py:1(<module>)
       88    0.001    0.000    0.001    0.000 <frozen posixpath>:166(basename)
       51    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:632(cached)
        1    0.000    0.000    0.001    0.001 _colorize.py:1(<module>)
       24    0.001    0.000    0.001    0.000 _compiler.py:241(_optimize_charset)
      265    0.001    0.000    0.001    0.000 <frozen posixpath>:53(normcase)
      770    0.001    0.000    0.001    0.000 {method 'join' of 'str' objects}
       88    0.001    0.000    0.001    0.000 {built-in method time.localtime}
       28    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:639(_get_cached)
       88    0.001    0.000    0.001    0.000 __init__.py:1131(flush)
       88    0.000    0.000    0.001    0.000 __init__.py:683(formatMessage)
       87    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:164(_path_isfile)
        1    0.000    0.000    0.001    0.001 csv.py:1(<module>)
       45    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:420(__exit__)
      155    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1497(_path_importer_cache)
      107    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:155(_path_is_mode_type)
      266    0.001    0.000    0.001    0.000 {built-in method posix.stat}
       45    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:372(release)
      681    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:491(_verbose_message)
        3    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1082(source_to_code)
       45    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:162(__enter__)
        3    0.001    0.000    0.001    0.000 {built-in method builtins.compile}
      470    0.001    0.000    0.001    0.000 {method 'get' of 'dict' objects}
        1    0.000    0.000    0.001    0.001 datetime.py:1(<module>)
       88    0.000    0.000    0.001    0.000 __init__.py:470(format)
      528    0.001    0.000    0.001    0.000 {built-in method posix.fspath}
       88    0.000    0.000    0.001    0.000 __init__.py:677(usesTime)
        5    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1315(create_module)
      528    0.001    0.000    0.001    0.000 _parser.py:239(__next)
        1    0.000    0.000    0.001    0.001 inspect.py:3382(signature)
        1    0.000    0.000    0.001    0.001 inspect.py:3103(from_callable)
        1    0.000    0.000    0.001    0.001 dataclasses.py:470(add_fns_to_class)
      3/1    0.000    0.000    0.001    0.001 inspect.py:2496(_signature_from_callable)
       88    0.000    0.000    0.001    0.000 <frozen genericpath>:157(_splitext)
        5    0.001    0.000    0.001    0.000 {built-in method _imp.create_dynamic}
        6    0.000    0.000    0.001    0.000 _compiler.py:514(_compile_info)
    80/21    0.000    0.000    0.001    0.000 _parser.py:177(getwidth)
       49    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:137(_path_split)
       45    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:426(_get_module_lock)
       28    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1616(_get_spec)
        3    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1235(_cache_bytecode)
        7    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1484(_path_hooks)
        3    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1240(set_data)
       45    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:124(setdefault)
       88    0.000    0.000    0.001    0.000 __init__.py:167(<lambda>)
       88    0.001    0.000    0.001    0.000 {built-in method time.strftime}
      128    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:1226(__exit__)
      135    0.000    0.000    0.001    0.000 _parser.py:163(__len__)
      128    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:1222(__enter__)
       90    0.000    0.000    0.000    0.000 <frozen posixpath>:42(_get_sep)
       65    0.000    0.000    0.000    0.000 {built-in method builtins.max}
      323    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
       88    0.000    0.000    0.000    0.000 __init__.py:463(_format)
       88    0.000    0.000    0.000    0.000 __init__.py:129(getLevelName)
      275    0.000    0.000    0.000    0.000 {built-in method builtins.hasattr}
       28    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:830(spec_from_file_location)
      322    0.000    0.000    0.000    0.000 {built-in method builtins.getattr}
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:200(_write_atomic)
       88    0.000    0.000    0.000    0.000 __init__.py:455(usesTime)
       15    0.000    0.000    0.000    0.000 _parser.py:97(closegroup)
       82    0.000    0.000    0.000    0.000 {method 'cursor' of 'sqlite3.Connection' objects}
        7    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1713(path_hook_for_FileFinder)
    18/13    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1395(__iter__)
       45    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:445(cb)
        2    0.000    0.000    0.000    0.000 __init__.py:358(namedtuple)
       88    0.000    0.000    0.000    0.000 threading.py:1430(current_thread)
       44    0.000    0.000    0.000    0.000 {built-in method _io.open_code}
      280    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.RLock' objects}
    27/17    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1381(_recalculate)
      291    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
      266    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
      197    0.000    0.000    0.000    0.000 _parser.py:255(match)
       44    0.000    0.000    0.000    0.000 {method 'read' of '_io.BufferedReader' objects}
       26    0.000    0.000    0.000    0.000 _compiler.py:401(_simple)
