         132469137 function calls (132468628 primitive calls) in 546.841 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       48    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:509(cache_from_source)
        1    0.000    0.000    0.002    0.002 sqlite_writer.py:23(_setup_db)
        3    0.002    0.001    0.002    0.001 {method 'execute' of 'sqlite3.Cursor' objects}
      443    0.001    0.000    0.002    0.000 _parser.py:260(get)
      272    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:145(_path_stat)
     1216    0.002    0.000    0.002    0.000 {built-in method builtins.isinstance}
       88    0.002    0.000    0.002    0.000 {method 'write' of '_io.TextIOWrapper' objects}
       23    0.002    0.000    0.002    0.000 {built-in method marshal.loads}
       88    0.001    0.000    0.001    0.000 <frozen posixpath>:117(splitext)
       44    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1211(get_data)
      357    0.001    0.000    0.001    0.000 _parser.py:167(__getitem__)
       88    0.001    0.000    0.001    0.000 <frozen posixpath>:166(basename)
        1    0.000    0.000    0.001    0.001 _colorize.py:1(<module>)
       54    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:632(cached)
        1    0.000    0.000    0.001    0.001 uuid.py:1(<module>)
      804    0.001    0.000    0.001    0.000 {method 'join' of 'str' objects}
       30    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:639(_get_cached)
       24    0.001    0.000    0.001    0.000 _compiler.py:241(_optimize_charset)
        1    0.000    0.000    0.001    0.001 dbapi2.py:1(<module>)
       88    0.001    0.000    0.001    0.000 __init__.py:1131(flush)
      265    0.001    0.000    0.001    0.000 <frozen posixpath>:53(normcase)
       88    0.001    0.000    0.001    0.000 {built-in method time.localtime}
       47    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:420(__exit__)
       89    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:164(_path_isfile)
      272    0.001    0.000    0.001    0.000 {built-in method posix.stat}
      164    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1497(_path_importer_cache)
      107    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:155(_path_is_mode_type)
        1    0.000    0.000    0.001    0.001 csv.py:1(<module>)
       88    0.000    0.000    0.001    0.000 __init__.py:683(formatMessage)
      715    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:491(_verbose_message)
       47    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:372(release)
       47    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:162(__enter__)
      532    0.001    0.000    0.001    0.000 {built-in method posix.fspath}
        1    0.000    0.000    0.001    0.001 datetime.py:1(<module>)
        6    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1315(create_module)
      479    0.001    0.000    0.001    0.000 {method 'get' of 'dict' objects}
       88    0.000    0.000    0.001    0.000 __init__.py:677(usesTime)
       88    0.000    0.000    0.001    0.000 __init__.py:470(format)
        1    0.000    0.000    0.001    0.001 inspect.py:3382(signature)
        1    0.000    0.000    0.001    0.001 inspect.py:3103(from_callable)
        6    0.001    0.000    0.001    0.000 {built-in method _imp.create_dynamic}
       88    0.000    0.000    0.001    0.000 <frozen genericpath>:157(_splitext)
      3/1    0.000    0.000    0.001    0.001 inspect.py:2496(_signature_from_callable)
       30    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1616(_get_spec)
      528    0.001    0.000    0.001    0.000 _parser.py:239(__next)
       47    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:426(_get_module_lock)
       49    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:137(_path_split)
        6    0.000    0.000    0.001    0.000 _compiler.py:514(_compile_info)
    80/21    0.000    0.000    0.001    0.000 _parser.py:177(getwidth)
        1    0.000    0.000    0.001    0.001 dataclasses.py:470(add_fns_to_class)
        7    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1484(_path_hooks)
       47    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:124(setdefault)
       88    0.000    0.000    0.001    0.000 __init__.py:167(<lambda>)
       88    0.001    0.000    0.001    0.000 {built-in method time.strftime}
      134    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:1222(__enter__)
      134    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:1226(__exit__)
      135    0.000    0.000    0.001    0.000 _parser.py:163(__len__)
       65    0.000    0.000    0.001    0.000 {built-in method builtins.max}
       90    0.000    0.000    0.001    0.000 <frozen posixpath>:42(_get_sep)
       30    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:830(spec_from_file_location)
      288    0.000    0.000    0.000    0.000 {built-in method builtins.hasattr}
      353    0.000    0.000    0.000    0.000 {built-in method builtins.getattr}
      323    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
       47    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:445(cb)
       88    0.000    0.000    0.000    0.000 __init__.py:129(getLevelName)
       15    0.000    0.000    0.000    0.000 _parser.py:97(closegroup)
       88    0.000    0.000    0.000    0.000 __init__.py:455(usesTime)
       88    0.000    0.000    0.000    0.000 __init__.py:463(_format)
        7    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1713(path_hook_for_FileFinder)
    18/13    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1395(__iter__)
       88    0.000    0.000    0.000    0.000 threading.py:1430(current_thread)
      304    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
      284    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.RLock' objects}
       44    0.000    0.000    0.000    0.000 {built-in method _io.open_code}
      270    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
    27/17    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1381(_recalculate)
       82    0.000    0.000    0.000    0.000 {method 'cursor' of 'sqlite3.Connection' objects}
       44    0.000    0.000    0.000    0.000 {method 'read' of '_io.BufferedReader' objects}
        2    0.000    0.000    0.000    0.000 __init__.py:358(namedtuple)
      197    0.000    0.000    0.000    0.000 _parser.py:255(match)
       26    0.000    0.000    0.000    0.000 _compiler.py:401(_simple)
        1    0.000    0.000    0.000    0.000 numbers.py:1(<module>)
        1    0.000    0.000    0.000    0.000 threading.py:1(<module>)
        1    0.000    0.000    0.000    0.000 enum.py:1753(convert_class)
        1    0.000    0.000    0.000    0.000 inspect.py:2392(_signature_from_function)
       44    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1128(find_spec)
      176    0.000    0.000    0.000    0.000 __init__.py:840(filter)
       84    0.000    0.000    0.000    0.000 _parser.py:292(tell)
       24    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:694(_classify_pyc)
       32    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1377(_get_parent_path)
       89    0.000    0.000    0.000    0.000 {built-in method time.time_ns}
        7    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1595(__init__)
      228    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
       46    0.000    0.000    0.000    0.000 {method '__exit__' of '_io._IOBase' objects}
      228    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
       73    0.000    0.000    0.000    0.000 _parser.py:175(append)
       71    0.000    0.000    0.000    0.000 {built-in method __new__ of type object at 0x7fe16f6e02e0}
        9    0.000    0.000    0.000    0.000 <frozen abc>:105(__new__)
