         60469805 function calls (60469309 primitive calls) in 376.325 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      443    0.001    0.000    0.002    0.000 _parser.py:260(get)
      260    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:145(_path_stat)
       23    0.002    0.000    0.002    0.000 {built-in method marshal.loads}
        1    0.000    0.000    0.001    0.001 sqlite_writer.py:14(__enter__)
      357    0.001    0.000    0.001    0.000 _parser.py:167(__getitem__)
        1    0.000    0.000    0.001    0.001 dbapi2.py:1(<module>)
      108    0.001    0.000    0.001    0.000 __init__.py:1131(flush)
      325    0.001    0.000    0.001    0.000 <frozen posixpath>:53(normcase)
      108    0.001    0.000    0.001    0.000 {built-in method time.localtime}
       41    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1211(get_data)
        1    0.000    0.000    0.001    0.001 sqlite_writer.py:23(_setup_db)
        3    0.001    0.000    0.001    0.000 {method 'execute' of 'sqlite3.Cursor' objects}
       51    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:632(cached)
       24    0.001    0.000    0.001    0.000 _compiler.py:241(_optimize_charset)
      108    0.000    0.000    0.001    0.000 __init__.py:683(formatMessage)
        1    0.000    0.000    0.001    0.001 _colorize.py:1(<module>)
      770    0.001    0.000    0.001    0.000 {method 'join' of 'str' objects}
       28    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:639(_get_cached)
       87    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:164(_path_isfile)
       45    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:420(__exit__)
        1    0.000    0.000    0.001    0.001 csv.py:1(<module>)
      104    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:155(_path_is_mode_type)
      155    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1497(_path_importer_cache)
      260    0.001    0.000    0.001    0.000 {built-in method posix.stat}
      108    0.000    0.000    0.001    0.000 __init__.py:677(usesTime)
       45    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:372(release)
      530    0.001    0.000    0.001    0.000 {method 'get' of 'dict' objects}
      678    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:491(_verbose_message)
      108    0.000    0.000    0.001    0.000 __init__.py:470(format)
      628    0.001    0.000    0.001    0.000 {built-in method posix.fspath}
      108    0.001    0.000    0.001    0.000 <frozen genericpath>:157(_splitext)
       45    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:162(__enter__)
        1    0.000    0.000    0.001    0.001 datetime.py:1(<module>)
        5    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1315(create_module)
      108    0.001    0.000    0.001    0.000 {built-in method time.strftime}
      528    0.001    0.000    0.001    0.000 _parser.py:239(__next)
        1    0.000    0.000    0.001    0.001 inspect.py:3382(signature)
        5    0.001    0.000    0.001    0.000 {built-in method _imp.create_dynamic}
      108    0.000    0.000    0.001    0.000 __init__.py:167(<lambda>)
        1    0.000    0.000    0.001    0.001 inspect.py:3103(from_callable)
      3/1    0.000    0.000    0.001    0.001 inspect.py:2496(_signature_from_callable)
    80/21    0.000    0.000    0.001    0.000 _parser.py:177(getwidth)
        6    0.000    0.000    0.001    0.000 _compiler.py:514(_compile_info)
       28    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1616(_get_spec)
       45    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:426(_get_module_lock)
      110    0.000    0.000    0.001    0.000 <frozen posixpath>:42(_get_sep)
        1    0.000    0.000    0.001    0.001 dataclasses.py:470(add_fns_to_class)
       46    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:137(_path_split)
      108    0.000    0.000    0.001    0.000 __init__.py:129(getLevelName)
      380    0.001    0.000    0.001    0.000 {method 'rfind' of 'str' objects}
        7    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1484(_path_hooks)
      108    0.000    0.000    0.001    0.000 threading.py:1430(current_thread)
      108    0.001    0.000    0.001    0.000 __init__.py:463(_format)
      108    0.000    0.000    0.001    0.000 __init__.py:455(usesTime)
       45    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:124(setdefault)
      315    0.001    0.000    0.001    0.000 {built-in method builtins.hasattr}
      135    0.000    0.000    0.001    0.000 _parser.py:163(__len__)
      128    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:1222(__enter__)
      101    0.001    0.000    0.001    0.000 {method 'cursor' of 'sqlite3.Connection' objects}
      128    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1226(__exit__)
      306    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
      320    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.RLock' objects}
       62    0.000    0.000    0.000    0.000 {built-in method builtins.max}
       28    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:830(spec_from_file_location)
       15    0.000    0.000    0.000    0.000 _parser.py:97(closegroup)
      322    0.000    0.000    0.000    0.000 {built-in method builtins.getattr}
       45    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:445(cb)
    18/13    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1395(__iter__)
        7    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1713(path_hook_for_FileFinder)
        2    0.000    0.000    0.000    0.000 __init__.py:358(namedtuple)
      291    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
      216    0.000    0.000    0.000    0.000 __init__.py:840(filter)
    27/17    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1381(_recalculate)
       41    0.000    0.000    0.000    0.000 {built-in method _io.open_code}
      197    0.000    0.000    0.000    0.000 _parser.py:255(match)
      109    0.000    0.000    0.000    0.000 {built-in method time.time_ns}
       26    0.000    0.000    0.000    0.000 _compiler.py:401(_simple)
       41    0.000    0.000    0.000    0.000 {method 'read' of '_io.BufferedReader' objects}
        1    0.000    0.000    0.000    0.000 threading.py:1(<module>)
        1    0.000    0.000    0.000    0.000 numbers.py:1(<module>)
        1    0.000    0.000    0.000    0.000 inspect.py:2392(_signature_from_function)
       84    0.000    0.000    0.000    0.000 _parser.py:292(tell)
       42    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1128(find_spec)
       23    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:694(_classify_pyc)
      108    0.000    0.000    0.000    0.000 __init__.py:1765(isEnabledFor)
       32    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1377(_get_parent_path)
      218    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
      108    0.000    0.000    0.000    0.000 {method 'flush' of '_io.TextIOWrapper' objects}
        7    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1595(__init__)
       73    0.000    0.000    0.000    0.000 _parser.py:175(append)
        1    0.000    0.000    0.000    0.000 input_port.py:1(<module>)
        9    0.000    0.000    0.000    0.000 <frozen abc>:105(__new__)
      218    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
      108    0.000    0.000    0.000    0.000 {built-in method sys._getframe}
        1    0.000    0.000    0.000    0.000 inspect.py:3324(__str__)
        9    0.000    0.000    0.000    0.000 dataclasses.py:768(_get_field)
       45    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:982(find_spec)
        1    0.000    0.000    0.000    0.000 inspect.py:3327(format)
       65    0.000    0.000    0.000    0.000 {built-in method __new__ of type object at 0x7f4c2dee02e0}
        4    0.000    0.000    0.000    0.000 typing.py:426(inner)
       24    0.000    0.000    0.000    0.000 _compiler.py:214(_compile_charset)
       42    0.000    0.000    0.000    0.000 {method '__exit__' of '_io._IOBase' objects}
       15    0.000    0.000    0.000    0.000 _parser.py:85(opengroup)
       92    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:139(<genexpr>)
        2    0.000    0.000    0.000    0.000 typing.py:1646(__getitem__)
      108    0.000    0.000    0.000    0.000 {built-in method posix.getpid}
      175    0.000    0.000    0.000    0.000 {method 'startswith' of 'str' objects}
       35    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:190(_path_abspath)
      108    0.000    0.000    0.000    0.000 threading.py:1097(name)
       33    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:89(_unpack_uint32)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1360(__init__)
       51    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
        4    0.000    0.000    0.000    0.000 __init__.py:2130(getLogger)
       45    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:74(__new__)
      108    0.000    0.000    0.000    0.000 {method 'find' of 'str' objects}
       23    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1230(path_stats)
       45    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:232(__init__)
       45    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:82(remove)
      108    0.000    0.000    0.000    0.000 __init__.py:391(getMessage)
       17    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:169(_path_isdir)
      146    0.000    0.000    0.000    0.000 {built-in method builtins.min}
        6    0.000    0.000    0.000    0.000 enum.py:1607(__and__)
        4    0.000    0.000    0.000    0.000 functools.py:544(decorating_function)
        4    0.000    0.000    0.000    0.000 __init__.py:1362(getLogger)
       21    0.000    0.000    0.000    0.000 _parser.py:371(_escape)
